col_name;img_src;class;category
Input Modalities > Image;none;;Input Modalities
Input Modalities > Timestamp;none;;Input Modalities
Input Modalities > Geolocation;none;;Input Modalities
Input Modalities > Text;none;;Input Modalities
Input Modalities > Other;none;;Input Modalities
Image Representation > Deep Learning-Based Image Features;none;;Image Representation
Image Representation > Traditional Image Features;none;;Image Representation
Image Representation > None;none;;Image Representation
Summarization > Aggregation;none;;Summarization
Summarization > Subsampling;none;;Summarization
Summarization > Filtering;none;;Summarization
Summarization > Spatial Arrangement;none;;Summarization
Summarizing Entities > Representative Images;none;;Summarizing Entities
Summarizing Entities > Marks;none;;Summarizing Entities
Summarizing Entities > Captions and Tags;none;;Summarizing Entities
Summarizing Entities > Numerical Statistics;none;;Summarizing Entities
Input for Position in Visualization > Single Attribute;none;;Input for Position in Visualization
Input for Position in Visualization > Two Attributes;none;;Input for Position in Visualization
Input for Position in Visualization > More Attributes;none;;Input for Position in Visualization
Input for Position in Visualization > Distance;none;;Input for Position in Visualization
Input for Position in Visualization > Geography;none;;Input for Position in Visualization
Input for Position in Visualization > Topology;none;;Input for Position in Visualization
Input for Position in Visualization > None / fixed Visualization;none;;Input for Position in Visualization
Goal > Explore;none;;Goal
Goal > Confirm;none;;Goal
Goal > Present;none;;Goal
Goal > Produce;none;;Goal
Interactions > Select;none;;Interactions
Interactions > Navigate;none;;Interactions
Interactions > Reconfigure;none;;Interactions
Interactions > Encode;none;;Interactions
Interactions > Show Details / Show Context;none;;Interactions
Interactions > Filter;none;;Interactions
Interactions > None;none;;Interactions
Evaluation > Algorithmic Performance;none;;Evaluation
Evaluation > User Experience and Performance;none;;Evaluation
Evaluation > Qualitative Results Inspection;none;;Evaluation
Evaluation > Case Study;none;;Evaluation
Evaluation > None;none;;Evaluation
Set Size - Claimed > Tens;none;;Set Size - Claimed
Set Size - Claimed > Hundreds;none;;Set Size - Claimed
Set Size - Claimed > Thousands;none;;Set Size - Claimed
Set Size - Claimed > Tens of Thousands;none;;Set Size - Claimed
Set Size - Claimed > Hundreds of Thousands;none;;Set Size - Claimed
Set Size - Claimed > Millions or More;none;;Set Size - Claimed
Set Size - Claimed > Not Specified;none;;Set Size - Claimed
Set Size - Confirmed > Tens;none;;Set Size - Confirmed
Set Size - Confirmed > Hundreds;none;;Set Size - Confirmed
Set Size - Confirmed > Thousands;none;;Set Size - Confirmed
Set Size - Confirmed > Tens of Thousands;none;;Set Size - Confirmed
Set Size - Confirmed > Hundreds of Thousands;none;;Set Size - Confirmed
Set Size - Confirmed > Millions or More;none;;Set Size - Confirmed
Set Size - Confirmed > Not Specified;none;;Set Size - Confirmed
